vote_count,release_year,release_month,sentiment_score,Comedy,Horror,Action,SciFi,Fantasy,Other
5415.0,1995.0,10.0,0.11212121212121214,1,0,0,0,0,0
2413.0,1995.0,12.0,-0.21875,0,0,0,0,1,0
92.0,1995.0,12.0,0.03888888888888889,1,0,0,0,0,0
34.0,1995.0,12.0,0.6,1,0,0,0,0,0
173.0,1995.0,2.0,0.4666666666666667,1,0,0,0,0,0
1886.0,1995.0,12.0,-0.05357142857142857,0,0,1,0,0,0
141.0,1995.0,12.0,0.025000000000000022,1,0,0,0,0,0
45.0,1995.0,12.0,-0.06999999999999999,0,0,1,0,0,0
174.0,1995.0,12.0,-0.11666666666666668,0,0,1,0,0,0
1194.0,1995.0,11.0,-0.5,0,0,1,0,0,0
199.0,1995.0,11.0,0.32,1,0,0,0,0,0
210.0,1995.0,12.0,0.26666666666666666,1,0,0,0,0,0
423.0,1995.0,12.0,-0.2,0,0,0,0,0,1
72.0,1995.0,12.0,-0.35,0,0,0,0,0,1
137.0,1995.0,12.0,-0.1285714285714286,0,0,1,0,0,0
1343.0,1995.0,11.0,-0.15,0,0,0,0,0,1
364.0,1995.0,12.0,0.018749999999999996,0,0,0,0,0,1
539.0,1995.0,12.0,-0.185,1,0,0,0,0,0
1128.0,1995.0,11.0,-0.33125,1,0,0,0,0,0
224.0,1995.0,11.0,0.018181818181818174,1,0,0,0,0,0
305.0,1995.0,10.0,0.05714285714285718,1,0,0,0,0,0
199.0,1995.0,10.0,-0.13518518518518519,0,0,0,0,0,1
394.0,1995.0,10.0,0.12222222222222223,0,0,1,0,0,0
143.0,1995.0,10.0,-0.15714285714285717,0,0,0,1,0,0
365.0,1995.0,10.0,-0.25,0,0,0,0,0,1
33.0,1995.0,12.0,-0.07777777777777779,0,0,0,0,0,1
91.0,1995.0,10.0,0.08611111111111111,1,0,0,0,0,0
36.0,1995.0,9.0,0.078125,0,0,0,0,0,1
308.0,1995.0,5.0,-0.30000000000000004,0,0,0,1,0,0
17.0,1995.0,4.0,0.0,0,0,0,0,0,1
249.0,1995.0,8.0,0.07285714285714287,0,0,0,0,0,1
2470.0,1995.0,12.0,0.022222222222222223,0,0,0,1,0,0
4.0,1996.0,9.0,0.0,0,0,0,0,0,1
756.0,1995.0,7.0,0.32916666666666666,1,0,0,0,0,0
16.0,1995.0,11.0,0.20833333333333334,0,0,0,0,0,1
350.0,1995.0,12.0,0.38055555555555554,0,0,0,0,0,1
2.0,1995.0,10.0,0.04685314685314685,0,0,0,0,0,1
149.0,1995.0,11.0,0.2833333333333334,1,0,0,0,0,0
828.0,1995.0,7.0,0.2832287157287157,1,0,0,0,0,0
13.0,1995.0,12.0,0.0,0,0,0,0,0,1
50.0,1995.0,12.0,0.0,0,0,0,0,0,1
80.0,1995.0,10.0,0.07559523809523809,0,0,1,0,0,0
30.0,1995.0,12.0,0.2796363636363637,0,0,0,0,0,1
452.0,1995.0,8.0,-1.586032892321652e-17,0,0,1,0,0,0
177.0,1995.0,5.0,0.22625,1,0,0,0,0,0
38.0,1995.0,10.0,0.18928571428571428,0,0,0,0,0,1
5915.0,1995.0,9.0,-0.12916666666666668,0,0,0,0,0,1
1509.0,1995.0,6.0,0.3472727272727273,0,0,0,0,0,1
10.0,1995.0,5.0,0.041071428571428564,0,0,0,0,0,1
3334.0,1995.0,7.0,0.21333333333333332,0,0,0,0,0,1
3.0,1994.0,11.0,-0.065625,0,0,1,0,0,0
145.0,1995.0,9.0,0.08,1,0,0,0,0,0
11.0,1994.0,1.0,-0.10555555555555557,0,0,0,0,0,1
41.0,1995.0,9.0,-0.21875,1,0,0,0,0,0
15.0,1995.0,5.0,0.09416666666666665,0,0,0,0,0,1
1.0,1997.0,7.0,0.26666666666666666,0,0,0,0,0,1
39.0,1995.0,11.0,-0.6,1,0,0,0,0,0
181.0,1994.0,9.0,0.2,1,0,0,0,0,0
2.0,1995.0,9.0,0.040476190476190485,0,0,0,0,0,1
136.0,1995.0,7.0,0.0,0,0,0,0,1,0
65.0,1996.0,1.0,0.04999999999999999,0,0,0,0,0,1
115.0,1995.0,12.0,0.041999999999999996,0,0,0,0,0,1
192.0,1996.0,1.0,0.07457912457912458,1,0,0,0,0,0
14.0,1996.0,1.0,0.11272727272727272,1,0,0,0,0,0
110.0,1996.0,1.0,-0.07272727272727272,1,0,0,0,0,0
32.0,1996.0,1.0,0.18571428571428572,0,0,1,0,0,0
11.0,1995.0,10.0,-0.004689754689754698,0,0,0,0,0,1
43.0,1995.0,2.0,0.0,1,0,0,0,0,0
513.0,1995.0,4.0,0.0,1,0,0,0,0,0
1644.0,1996.0,1.0,-0.2,0,1,0,0,0,0
54.0,1995.0,11.0,0.0,0,0,1,0,0,0
36.0,1995.0,10.0,0.1,1,0,0,0,0,0
8.0,1995.0,3.0,0.12222222222222219,0,0,0,0,0,1
27.0,1996.0,1.0,0.125,0,0,0,0,0,1
16.0,1996.0,1.0,-0.15,1,0,0,0,0,0
154.0,1995.0,9.0,0.1088888888888889,0,1,0,0,0,0
3.0,1995.0,2.0,0.19805194805194803,0,0,0,0,0,1
74.0,1995.0,11.0,0.02986111111111111,0,0,0,0,0,1
91.0,1996.0,2.0,0.039999999999999994,0,0,0,0,0,1
20.0,1995.0,1.0,-0.09375,0,0,0,0,0,1
87.0,1995.0,12.0,0.35,0,0,0,0,0,1
26.0,1995.0,9.0,-0.00902777777777778,1,0,0,0,0,0
2.0,1996.0,1.0,0.05358225108225108,0,0,0,0,0,1
0.0,1995.0,11.0,0.12121466768525592,0,0,0,0,0,1
17.0,1995.0,9.0,-0.09285714285714286,0,0,0,0,0,1
86.0,1996.0,2.0,0.0,0,0,1,0,0,0
59.0,1996.0,1.0,-0.10038461538461538,1,0,0,0,0,0
124.0,1996.0,2.0,0.0,1,0,0,0,0,0
190.0,1995.0,11.0,-0.25,0,0,0,0,0,1
3.0,1995.0,9.0,-0.018518518518518528,0,0,0,0,0,1
77.0,1996.0,2.0,0.25,0,1,0,0,0,0
113.0,1995.0,10.0,0.011616161616161613,1,0,0,0,0,0
103.0,1996.0,2.0,-0.11666666666666665,1,0,0,0,0,0
459.0,1996.0,2.0,-0.025,0,0,1,0,0,0
6.0,1995.0,12.0,0.32,1,0,0,0,0,0
695.0,1995.0,5.0,-0.1527777777777778,0,0,0,0,0,1
13.0,1994.0,12.0,0.14285714285714285,0,0,1,0,0,0
4.0,1995.0,12.0,-0.012499999999999999,0,0,0,0,0,1
67.0,1996.0,2.0,0.11818181818181818,0,0,0,0,0,1
285.0,1996.0,2.0,0.11904761904761905,1,0,0,0,0,0
16.0,1996.0,2.0,-0.006632653061224482,1,0,0,0,0,0
22.0,1996.0,2.0,0.02,0,0,0,1,0,0
767.0,1996.0,2.0,0.43333333333333335,1,0,0,0,0,0
397.0,1995.0,5.0,0.0,0,0,0,0,0,1
5.0,1994.0,11.0,0.0,1,0,0,0,0,0
93.0,1996.0,2.0,-0.022222222222222216,1,0,0,0,0,0
2.0,1995.0,12.0,0.0028409090909090884,0,0,0,0,0,1
0.0,1995.0,5.0,0.0,0,0,0,0,0,1
3404.0,1995.0,5.0,0.10606060606060606,0,0,1,0,0,0
2632.0,1976.0,2.0,-0.13272727272727275,0,0,0,0,0,1
245.0,1995.0,1.0,-0.040909090909090916,1,0,0,0,0,0
37.0,1996.0,2.0,0.0,0,0,0,0,0,1
2.0,1995.0,9.0,0.19376417233560092,0,0,0,0,0,1
23.0,1995.0,1.0,0.07666666666666669,1,0,0,0,0,0
4.0,1995.0,6.0,0.12187500000000001,0,0,0,0,0,1
19.0,1995.0,1.0,-0.12999999999999998,1,0,0,0,0,0
11.0,1996.0,3.0,0.2520833333333333,1,0,0,0,0,0
7.0,1995.0,9.0,0.10625,1,0,0,0,0,0
21.0,1996.0,3.0,0.4792727272727273,1,0,0,0,0,0
7.0,1992.0,12.0,0.2833333333333333,0,0,0,0,0,1
139.0,1992.0,6.0,0.08939393939393941,1,0,0,0,0,0
249.0,1994.0,7.0,-0.024999999999999994,1,0,0,0,0,0
29.0,1995.0,9.0,-0.125,0,0,0,0,0,1
66.0,1996.0,3.0,0.06161616161616159,1,0,0,0,0,0
105.0,1994.0,10.0,0.3,0,0,0,0,1,0
3.0,1994.0,9.0,0.024999999999999994,0,0,0,0,0,1
0.0,1995.0,1.0,0.0,0,0,0,0,0,1
2.0,1996.0,2.0,0.019999999999999997,1,0,0,0,0,0
9.0,1995.0,1.0,-0.06363636363636363,1,0,0,0,0,0
4.0,1995.0,11.0,0.29,0,0,0,0,0,1
45.0,1995.0,10.0,-0.225,0,0,1,0,0,0
1.0,1995.0,8.0,0.03409090909090909,1,0,0,0,0,0
0.0,1995.0,8.0,0.10119047619047618,0,0,0,0,0,1
110.0,1996.0,3.0,-0.09010416666666668,1,0,0,0,0,0
2.0,1995.0,9.0,0.14464646464646466,0,0,0,0,0,1
2.0,1995.0,9.0,-0.013888888888888886,1,0,0,0,0,0
5.0,1995.0,8.0,-0.08333333333333333,0,0,0,0,0,1
0.0,1995.0,8.0,-0.5666666666666667,0,0,0,0,0,1
51.0,1996.0,3.0,0.1795940170940171,0,0,0,0,0,1
303.0,1996.0,3.0,0.029166666666666646,1,0,0,0,0,0
2.0,1995.0,10.0,0.0,0,0,0,0,0,1
23.0,1995.0,8.0,0.09772727272727272,1,0,0,0,0,0
1729.0,1995.0,4.0,0.09166666666666667,1,0,0,0,0,0
31.0,1995.0,8.0,0.325,0,0,1,0,0,0
472.0,1995.0,4.0,0.005555555555555564,0,0,0,0,0,1
11.0,1995.0,7.0,0.0,1,0,0,0,0,0
21.0,1994.0,8.0,0.6,1,0,0,0,0,0
1637.0,1995.0,6.0,0.12,0,0,0,0,0,1
151.0,1995.0,4.0,-0.025000000000000005,0,0,0,0,0,1
46.0,1995.0,1.0,-0.1,0,1,0,0,0,0
1529.0,1995.0,6.0,-0.03051948051948052,0,0,1,0,0,0
163.0,1967.0,5.0,0.18,0,0,0,0,0,1
21.0,1995.0,5.0,-0.2125,0,0,0,0,0,1
28.0,1995.0,9.0,-0.052727272727272734,1,0,0,0,0,0
57.0,1995.0,6.0,0.0,1,0,0,0,0,0
1045.0,1995.0,5.0,0.005952380952380963,1,0,0,0,0,0
69.0,1995.0,9.0,0.13333333333333333,0,0,0,0,0,1
214.0,1995.0,6.0,-0.016666666666666666,0,0,1,0,0,0
508.0,1995.0,5.0,0.3833333333333333,0,0,1,0,0,0
71.0,1994.0,9.0,0.0625,0,0,0,0,0,1
898.0,1995.0,8.0,0.0,0,0,1,0,0,0
88.0,1995.0,9.0,0.022222222222222227,0,0,0,0,0,1
2094.0,1995.0,5.0,0.15324675324675324,0,0,1,0,0,0
57.0,1995.0,10.0,-0.125,1,0,0,0,0,0
0.0,1995.0,10.0,-0.09,0,0,0,0,0,1
319.0,1995.0,7.0,0.325,0,0,1,0,0,0
130.0,1995.0,7.0,-0.1125,0,0,0,0,0,1
406.0,1995.0,9.0,-0.4127272727272727,0,0,1,0,0,0
19.0,1995.0,8.0,0.1505050505050505,1,0,0,0,0,0
380.0,1995.0,5.0,0.1625,0,0,1,0,0,0
643.0,1995.0,6.0,0.25,0,0,0,1,0,0
34.0,1995.0,4.0,0.43333333333333335,1,0,0,0,0,0
280.0,1995.0,7.0,0.16260330578512397,0,0,0,0,0,1
64.0,1995.0,1.0,0.0,1,0,0,0,0,0
87.0,1995.0,8.0,-0.04,0,1,0,0,0,0
7.0,1993.0,5.0,0.15333333333333332,1,0,0,0,0,0
27.0,1995.0,5.0,0.12727272727272726,0,0,0,0,0,1
400.0,1995.0,10.0,0.5,1,0,0,0,0,0
153.0,1995.0,6.0,0.06000000000000001,0,0,1,0,0,0
10.0,1995.0,9.0,0.0,1,0,0,0,0,0
36.0,1995.0,9.0,0.1,0,0,0,0,0,1
12.0,1994.0,9.0,0.12967171717171716,0,1,0,0,0,0
359.0,1995.0,7.0,-0.15410353535353535,0,0,1,0,0,0
171.0,1995.0,7.0,0.1444444444444444,1,0,0,0,0,0
14.0,1995.0,6.0,-0.3975,1,0,0,0,0,0
139.0,1995.0,9.0,-0.0625,0,1,0,0,0,0
1.0,1995.0,11.0,0.17500000000000002,1,0,0,0,0,0
62.0,1995.0,6.0,-0.09965986394557823,0,0,0,0,0,1
111.0,1995.0,10.0,0.01111111111111109,0,0,0,0,0,1
2.0,1995.0,8.0,0.3,0,0,0,0,0,1
261.0,1995.0,9.0,0.3,0,0,0,0,0,1
115.0,1995.0,6.0,0.1,1,0,0,0,0,0
60.0,1995.0,8.0,0.75,1,0,0,0,0,0
457.0,1995.0,7.0,0.06666666666666667,0,1,0,0,0,0
6.0,1995.0,9.0,-0.013888888888888895,0,0,0,0,0,1
334.0,1995.0,10.0,0.05,0,0,0,1,0,0
119.0,1964.0,2.0,0.22916666666666666,0,0,0,0,0,1
9.0,1995.0,9.0,0.05,0,0,0,0,0,1
18.0,1995.0,10.0,0.33030303030303027,0,0,0,0,1,0
112.0,1995.0,11.0,0.17777777777777778,0,0,0,0,0,1
117.0,1995.0,9.0,-0.10907687991021325,1,0,0,0,0,0
217.0,1995.0,7.0,-0.1,0,0,1,0,0,0
9.0,1995.0,9.0,-0.10285714285714283,1,0,0,0,0,0
6.0,1995.0,8.0,0.29333333333333333,0,0,0,0,0,1
168.0,1995.0,8.0,0.19444444444444442,0,0,0,0,0,1
1017.0,1995.0,7.0,-0.026666666666666682,0,0,1,0,0,0
25.0,1995.0,12.0,-0.075,0,0,0,0,0,1
27.0,1995.0,12.0,0.425,0,0,1,0,0,0
11.0,1994.0,10.0,-0.13333333333333336,0,0,0,0,0,1
29.0,1995.0,8.0,0.0,1,0,0,0,0,0
35.0,1994.0,5.0,-0.035833333333333335,0,0,0,0,0,1
45.0,1994.0,6.0,0.2833333333333333,0,0,0,0,0,1
984.0,1995.0,1.0,0.16666666666666666,0,0,0,0,0,1
464.0,1995.0,2.0,0.24375000000000002,1,0,0,0,0,0
27.0,1995.0,10.0,0.34,0,0,0,0,0,1
48.0,1995.0,2.0,0.1590909090909091,1,0,0,0,0,0
58.0,1995.0,4.0,0.09739583333333332,0,0,0,0,0,1
40.0,1995.0,8.0,-0.25,0,1,0,0,0,0
30.0,1995.0,3.0,0.6333333333333334,0,0,0,0,0,1
769.0,1994.0,9.0,0.0,1,0,0,0,0,0
184.0,1994.0,10.0,0.3466666666666667,1,0,0,0,0,0
217.0,1994.0,12.0,0.16666666666666666,0,0,0,0,0,1
1.0,1995.0,1.0,0.255,0,0,0,0,0,1
91.0,1994.0,12.0,-0.5777777777777778,0,0,1,0,0,0
9.0,1995.0,4.0,0.06875,1,0,0,0,0,0
92.0,1994.0,5.0,0.0,0,0,0,0,0,1
183.0,1995.0,3.0,0.15000000000000005,0,0,0,0,0,1
1894.0,1994.0,12.0,0.09805194805194806,1,0,0,0,0,0
76.0,1994.0,8.0,0.12477272727272726,1,0,0,0,0,0
64.0,1994.0,9.0,0.2333333333333333,0,0,0,0,0,1
28.0,1994.0,10.0,0.4121212121212121,1,0,0,0,0,0
639.0,1994.0,9.0,0.25,1,0,0,0,0,0
179.0,1995.0,5.0,0.3833333333333333,1,0,0,0,0,0
38.0,1995.0,5.0,0.125,1,0,0,0,0,0
27.0,1995.0,1.0,0.1,0,0,1,0,0,0
404.0,1995.0,4.0,0.01428571428571429,1,0,0,0,0,0
24.0,1995.0,3.0,0.12222222222222223,0,0,0,0,0,1
48.0,1995.0,6.0,0.3,0,0,0,0,1,0
20.0,1994.0,12.0,0.5,0,0,0,0,0,1
4.0,1995.0,5.0,0.0,0,0,0,0,1,0
2.0,1995.0,12.0,0.0893939393939394,0,0,0,1,0,0
9.0,1994.0,9.0,-0.013020202020202017,0,0,1,0,0,0
91.0,1994.0,9.0,0.142,0,0,0,0,0,1
299.0,1994.0,9.0,0.2375,0,0,0,0,1,0
17.0,1995.0,1.0,0.36666666666666664,1,0,0,0,0,0
90.0,1994.0,12.0,0.34259259259259256,0,0,0,0,0,1
97.0,1995.0,2.0,-0.05491071428571429,1,0,0,0,0,0
25.0,1995.0,2.0,-0.10000000000000002,0,0,1,0,0,0
112.0,1994.0,12.0,0.4666666666666666,1,0,0,0,0,0
1558.0,1994.0,11.0,0.15,0,1,0,0,0,0
10.0,1995.0,3.0,0.10000000000000002,0,0,0,0,0,1
10.0,1995.0,2.0,-0.028409090909090915,1,0,0,0,0,0
381.0,1994.0,11.0,0.3,1,0,0,0,0,0
124.0,1995.0,2.0,0.13666666666666666,0,0,1,0,0,0
40.0,1995.0,8.0,0.075,1,0,0,0,0,0
83.0,1995.0,4.0,-0.05300734618916437,0,0,1,0,0,0
6778.0,1977.0,5.0,-0.07500000000000001,0,0,1,0,0,0
222.0,1994.0,12.0,0.0,0,0,0,0,0,1
207.0,1995.0,5.0,0.03939393939393939,0,0,0,0,1,0
14.0,1994.0,2.0,-0.02127525252525252,0,0,0,0,0,1
22.0,1994.0,2.0,0.0,0,0,0,0,0,1
70.0,1992.0,4.0,0.35,0,0,0,0,0,1
636.0,1994.0,12.0,0.16666666666666666,0,0,0,0,0,1
164.0,1995.0,3.0,-0.04583333333333334,1,0,0,0,0,0
31.0,1994.0,10.0,0.0,0,0,1,0,0,0
9.0,1994.0,6.0,-1.1895246692412391e-17,0,0,0,0,0,1
11.0,1994.0,10.0,-0.04232954545454546,0,0,0,0,0,1
28.0,1995.0,3.0,0.02357142857142857,0,0,0,0,0,1
67.0,1994.0,12.0,-0.4,1,0,0,0,0,0
272.0,1994.0,11.0,-0.06785714285714285,0,1,0,0,0,0
40.0,1995.0,3.0,0.01944444444444444,1,0,0,0,0,0
37.0,1994.0,12.0,-0.6,1,0,0,0,0,0
49.0,1994.0,8.0,0.1747795414462081,1,0,0,0,0,0
199.0,1994.0,11.0,0.19696428571428573,0,0,0,0,1,0
7.0,1995.0,1.0,0.17857142857142858,1,0,0,0,0,0
11.0,1995.0,5.0,0.22499999999999998,1,0,0,0,0,0
140.0,1995.0,1.0,-0.11000000000000001,0,0,0,0,0,1
56.0,1994.0,12.0,-0.1305194805194805,1,0,0,0,0,0
128.0,1994.0,12.0,0.22000000000000003,0,0,0,0,0,1
7.0,1995.0,4.0,-0.06565656565656566,0,0,0,0,0,1
0.0,1993.0,8.0,0.1218013468013468,0,0,1,0,0,0
4.0,1994.0,4.0,0.0,0,1,0,0,0,0
10.0,1995.0,9.0,-0.08787878787878789,0,0,1,0,0,0
4.0,1995.0,3.0,0.3125,0,0,0,0,0,1
927.0,1994.0,8.0,0.0,0,0,0,0,0,1
92.0,1994.0,9.0,0.34206349206349207,1,0,0,0,0,0
106.0,1994.0,9.0,-0.12007575757575761,0,0,0,0,0,1
32.0,1996.0,1.0,-0.1409090909090909,0,0,0,0,0,1
522.0,1995.0,3.0,-0.15,0,0,1,0,0,0
